sex,race,age_group,county,crime_class,relinst,days_court,days_newsent,days_tech,days_other,release_year,release_month
Male,Black,20-24,Cook,Public Order,Stateville,1580.0,,,,2021,2021-04-01
Male,Black,25-29,Cook,Person,Shawnee,701.0,,161.0,,2020,2020-11-01
Male,Black,30-34,Cook,Public Order,Sheridan,1745.0,,442.0,,2020,2020-12-01
Male,Black,35-44,Kankakee,Person,Centralia,,,879.0,,2020,2020-06-01
Male,Black,30-34,Winnebago,Person,Vandalia,,,420.0,,2023,2023-04-01
Male,Black,20-24,Cook,Public Order,Stateville,707.0,,,,2022,2022-08-01
Male,Black,25-29,Cook,Drug,Stateville,239.0,,,,2022,2022-08-01
Male,White,25-29,Kane,Drug,Vienna,,262.0,,,2022,2022-05-01
Male,Hispanic,20-24,Cook,Person,Southwestern Illinois,1803.0,,,,2020,2020-08-01
Male,Black,30-34,Cook,Person,Hill,53.0,,,,2025,2025-05-01
Male,Black,20-24,Cook,Public Order,Danville,,,,,2018,2018-03-01
Male,Black,20-24,Cook,Public Order,Shawnee,,,,,2018,2018-12-01
Male,White,35-44,Douglas,Drug,Graham,,,,,2022,2022-08-01
Male,Black,20-24,Cook,Public Order,Stateville,,,,,2022,2022-09-01
Male,White,55-64,LaSalle,Drug,Sheridan,,,,,2023,2023-06-01
Female,White,35-44,Will,Drug,Logan,,,,,2022,2022-12-01
Male,White,45-54,Lawrence,Drug,Vandalia,,,,,2022,2022-01-01
Male,Black,30-34,Macon,Public Order,Vandalia,,,,,2022,2022-02-01
Male,Hispanic,20-24,Cook,Public Order,Stateville,,,,,2022,2022-05-01
Male,Black,35-44,Cook,Person,Taylorville,,,,,2021,2021-10-01
Male,Black,35-44,Logan,Drug,East Moline,,,,,2021,2021-09-01
Male,Black,30-34,McLean,Public Order,Shawnee,,,,,2021,2021-12-01
Female,White,45-54,Knox,Drug,Decatur,,,,,2021,2021-10-01
Male,Black,45-54,Cook,Property,Jacksonville,,,,,2021,2021-04-01
Male,Black,45-54,Cook,Drug,Stateville,,,,,2021,2021-01-01
Male,Black,30-34,Winnebago,Public Order,Kewanee Reentry Center,,,,,2021,2021-06-01
Male,Black,25-29,Peoria,Person,Stateville,,,,,2021,2021-04-01
Male,Hispanic,30-34,Lake,Person,Taylorville,,,,,2021,2021-01-01
Male,White,45-54,McLean,Property,Jacksonville,,,,,2020,2020-12-01
Male,White,30-34,Madison,Drug,Graham,,,,,2020,2020-09-01
Male,White,45-54,Clark,Person,Southwestern Illinois,,,,,2020,2020-09-01
Male,Black,35-44,Cook,Person,Vandalia,,,,,2025,2025-05-01
Male,Black,35-44,Cook,Drug,Stateville,,,,,2025,2025-09-01
Male,Black,35-44,Peoria,Person,East Moline,,,,,2025,2025-05-01
Male,Black,30-34,Adams,Person,Lawrence,,,,,2025,2025-08-01
